price.symbol,shortName,longBusinessSummary,sector,industry,beta,marketCap,OCY Margin,priceToSalesTrailing12Months,revenueGrowth,Revenue Multiplier,Revenu M nOrmalised,52WeekChange,currentPrice,mostRecentQuarter,trailingAnnualDividendYield,payoutRatio,exDividendDate,heldPercentInsiders,heldPercentInstitutions,country,Employees,EarningsGrowth,EVEBITDA,Floatshares,ForwardEps,PricetoBook,ProfitMargin,SharesOutstaning,TrailingEPs,CurrentPrice2,DebttoEquity,FreeCashflow,GrossMargin,OperatingCashflow,OperatingMargin,ProfitMargin3,QuickRatio,ROA,Revenuepershare,TotalCash,TotalDebt,totalRevenue,Fiftytwoweekhigh,Fiftytwoweeklow,priceToSalesTrailing12Months4,AnnualDividednYield,TrailingPE,City,Country5,Earningdateexpected,targetMeanPrice,targetHighPrice,totalRevenue_raw,marketCap_raw,revenueperemp,Operating Income
DNLI,Denali Therapeutics Inc.,"Denali Therapeutics Inc., a biopharmaceutical company, discovers and develops therapeutic candidates for neurodegenerative diseases in the United States. The company offers leucine-rich repeat kinase 2 (LRRK2) inhibitor product candidates, including DNL201 that has completed Phase 1b clinical trials and DNL151, which are in Phase 1 and Phase 1b clinical trials for Parkinson's disease. It is also developing receptor interacting serine/threonine protein kinase 1 (RIPK1) product candidates, such as DNL747, a selective and brain-penetrant small molecule RIPK1 inhibitor product candidate that is in Phase 1b clinical trial for Alzheimer's disease and amyotrophic lateral sclerosis (ALS). In addition, the company develops enzyme transport vehicle: iduronate 2-sulfatase, an enzyme replacement therapy program for MPS II, a lysosomal storage disorder; antibody transport vehicle (ATV): alpha-synuclein (aSyn) program, a protein that spreads throughout the brain in Parkinson's disease; ATV: triggering receptor expressed in myeloid cells 2, a therapeutic candidate designed to rescue microglial function in Alzheimer's disease; and ATV: Tau, a therapeutic targeting the spreading of Tau. Denali Therapeutics Inc. has collaboration agreement with Takeda Pharmaceutical Company and Genentech, Inc., Sanofi, F-star Gamma Limited, F-star Biotechnologische Forschungs-Und Entwicklungsges M.B.H, F-star Biotechnology Limited, SIRION Biotech GmbH, Genzyme Corporation, Harvard University, the Michael J. Fox Foundation, Centogene, and MedGenome Labs Private Ltd; and a research and option agreement with Secarna Pharmaceuticals GmbH & Co. KG. to develop antisense therapies in the field of neurodegenerative diseases. The company was formerly known as SPR Pharma Inc. and changed its name to Denali Therapeutics Inc. in March 2015. Denali Therapeutics Inc. was incorporated in 2013 and is headquartered in South San Francisco, California.",Healthcare,Biotechnology,2.028225,7.826,123.98%,23.32,6681.10%,8283.27%,355.20%,,64.69,31-12-2020,,0.00%,,17.61%,78.64%,United States,291,,90.19,79.59M,-2,6.78,21.19%,119.29M,0.63,64.69,5.99,109032752,36.66%,416152000,18.68%,21.19%,20.58,3.63%,3.08,1469697024,68865000,335659008,93.94,13.2,23.316685,,102.68,South San Francisco,United States,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",81,106,335659008,7826455040,1153467.381,62701102.69
MRNA,"Moderna, Inc.","Moderna, Inc., a biotechnology company, develops therapeutics and vaccines based on messenger RNA for the treatment of infectious diseases, immuno-oncology, rare diseases, cardiovascular diseases, and auto-immune diseases. As of March 9, 2021, the company had 13 programs in clinical trials and a total of 24 development programs in six modalities comprising prophylactic vaccines, cancer vaccines, intratumoral immuno-oncology, localized regenerative therapeutics, systemic secreted and cell surface therapeutics, and systemic intracellular therapeutics. The company has strategic alliances with AstraZeneca PLC, Merck & Co., Inc., Vertex Pharmaceuticals Incorporated, Vertex Pharmaceuticals (Europe) Limited, the Biomedical Advanced Research and Development Authority, the Defense Advanced Research Projects Agency, the National Institute of Allergy and Infectious Diseases, the National Institutes of Health, the Coalition for Epidemic Preparedness Innovations, and Bill & Melinda Gates Foundation. Moderna, Inc. also has collaborations with Lonza Ltd. for the manufacture of COVID-19 vaccine; and Catalent Inc., Laboratorios FarmacÃ©uticos Rovi, S.A., and Recipharm for fill-finish manufacturing of its COVID-19 vaccine candidate. The company was formerly known as Moderna Therapeutics, Inc. and changed its name to Moderna, Inc. in August 2018. Moderna, Inc. was founded in 2010 and is headquartered in Cambridge, Massachusetts.",Healthcare,Biotechnology,1.473736,54.868,252.30%,68.3,3960.80%,9993.13%,146.31%,,136.99,31-12-2020,,0.00%,,10.01%,52.06%,United States,1300,,-68.86,335.2M,14.93,21.33,-92.99%,400.52M,-1.96,136.99,9.28,2190475264,-71.56%,2026971008,-94.99%,-92.99%,1.37,-10.69%,2.11,4607607808,237595008,803395008,189.26,22.22,68.295074,,,Cambridge,United States,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",174.25,208,803395008,54867918848,617996.16,-763144918.1
ATH,Athene Holding Ltd.,"Athene Holding Ltd., a retirement services company, issues, reinsures, and acquires retirement savings products for individuals and institutions in the United States and Bermuda. The company provides annuity retirement solutions to its policyholders; and reinsures multi-year guaranteed annuities, fixed indexed annuities, traditional one-year guarantee fixed deferred annuities, immediate annuities, and institutional products. It also offers funding agreements and pension risk transfer transactions, as well as group annuities. The company was incorporated in 2008 and is headquartered in Hamilton, Bermuda.",Financial Services,Insurance—Diversified,1.628978,9.616,28.14%,0.65,165.40%,46.54%,71.60%,,50.14,31-12-2020,,0.00%,,4.61%,93.87%,Bermuda,1350,142.40%,,126.69M,9.13,0.51,10.44%,191.78M,8.34,50.14,9.98,-29340999680,20.73%,4153999872,15.78%,10.44%,0.62,0.83%,79.85,11436000256,2010000000,14764000256,55.39,13.37,0.6513071,,6.01,Hamilton,Bermuda,"[{'raw': 1620259200, 'fmt': '2021-05-06'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",57.63,80,14764000256,9615898624,10936296.49,2329759240
ESGR,Enstar Group Limited,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. The company engages in the running off property and casualty, and other non-life lines of businesses. It also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, and IT consulting services to the insurance and reinsurance industry. The company operates in Bermuda, the United States, the United Kingdom, Continental Europe, Australia, and internationally. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 2001 and is based in Hamilton, Bermuda.",Financial Services,Insurance—Diversified,0.670097,5.876,108.78%,2.21,128.40%,139.67%,63.20%,,265.95,31-12-2020,,0.00%,31-01-2007,10.02%,84.90%,Bermuda,1189,310.10%,0.59,13.6M,15,0.87,65.97%,18.59M,78.8,265.95,19.97,2776898560,77.94%,2894010112,60.54%,65.97%,7.12,4.85%,123.45,6611763200,1408281984,2660506112,269.12,94.58,2.2087047,,3.38,Hamilton,Bermuda,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",,,2660506112,5876272128,2237599.758,1610670400
HOG,"Harley-Davidson, Inc.","Harley-Davidson, Inc. manufactures and sells custom, cruiser, and touring motorcycles. The company operates in two segments, Motorcycles and Related Products and Financial Services. The Motorcycles and Related Products segment designs, manufactures, and sells Harley-Davidson motorcycles, including cruiser, touring, standard, sportbike, and dual models, as well as motorcycle parts, accessories, general merchandise, and related services. This segment sells its products to retail customers through a network of independent dealers, as well as e-commerce channels in the United States, Canada, Latin America, Europe, the Middle East, Africa, and the Asia-Pacific. The Financial Services segment provides wholesale financing services, such as floorplan and open account financing of motorcycles, and parts and accessories; and retail financing services, including installment lending for the purchase of new and used Harley-Davidson motorcycles, as well as point-of-sale protection products comprising motorcycle insurance, extended service contracts, and motorcycle maintenance protection. This segment also licenses third-party financial institutions that issue credit cards bearing the Harley-Davidson brand. Harley-Davidson, Inc. was founded in 1903 and is based in Milwaukee, Wisconsin.",Consumer Cyclical,Recreational Vehicles,1.531419,5.935,29.05%,1.46,-32.40%,-9.41%,-6.45%,,38.71,31-12-2020,1.19%,4400.00%,01-03-2021,0.66%,96.02%,United States,5150,,44.21,144.66M,2.9,3.44,0.03%,153.31M,0.01,38.71,524.56,-786627648,25.60%,1177890048,3.40%,0.03%,1.23,0.76%,26.47,666208000,9037085696,4054376960,43.47,14.31,1.4637873,1.19%,"4,838.75",Milwaukee,United States,"[{'raw': 1619395200, 'fmt': '2021-04-26'}, {'raw': 1619740800, 'fmt': '2021-04-30'}]",37.38,42,4054376960,5934745600,787257.6621,137848816.6
ZM,"Zoom Video Communications, Inc.","Zoom Video Communications, Inc. provides a video-first communications platform in the Americas, the Asia Pacific, Europe, the Middle East, and Africa. The company's product portfolio includes Zoom Meetings that offers HD video, voice, chat, and content sharing through mobile devices, desktops, laptops, telephones, and conference room systems; Zoom Phone, an enterprise cloud phone system that provides secure call routing, call queuing, call detail reports, call recording, call quality monitoring, voicemail, switch to video, and other services, as well as inbound and outbound calling services; and Zoom Chat enables sharing messages, images, audio files, and content in desktop, laptop, tablet, and mobile devices for meeting and phone customers. It also offers Zoom Rooms, a software-based conference room system; Zoom Conference Room Connector, a gateway for SIP/H.323 endpoints to join Zoom meetings; and Zoom Video Webinars enables users to conduct large-scale online events, such as town hall meetings, workshops, and marketing presentations. In addition, the company provides Zoom for Developers that allows developers to integrate its video, phone, chat, and content sharing into other applications, as well as manages Zoom accounts; and Zoom App Marketplace enhance developers to publish their apps. It serves education, entertainment/media, enterprise infrastructure, finance, government, healthcare, manufacturing, non-profit/not for profit and social impact, retail/consumer products, and software/Internet industries, as well as individuals. Zoom Video Communications, Inc. has partnership with ServiceNow. The company was formerly known as Zoom Communications, Inc. and changed its name to Zoom Video Communications, Inc. in May 2012. Zoom Video Communications, Inc. was founded in 2011 and is headquartered in San Jose, California.",Communication Services,Telecom Services,,101.107,55.49%,38.13,368.80%,204.64%,5.37%,,346.39,31-01-2021,,0.00%,,1.03%,57.14%,United States,,1599.00%,138.62,188.26M,4.09,25.8,25.36%,204.6M,2.25,346.39,2.34,1361558016,69.00%,1471176960,24.89%,25.36%,3.6,12.52%,9.34,4244712960,90415000,2651367936,588.84,102,38.134064,,153.95,San Jose,United States,"[{'raw': 1622419200, 'fmt': '2021-05-31'}, {'raw': 1622764800, 'fmt': '2021-06-04'}]",486.93,610,2651367936,1.01107E+11,,659925479.3
SC,Santander Consumer USA Holdings,"Santander Consumer USA Holdings Inc., a specialized consumer finance company, provides vehicle finance and third-party servicing in the United States. It offers vehicle financial products and services, including retail installment contracts and vehicle leases, as well as dealer loans for inventory, construction, real estate, working capital, and revolving lines of credit. The company also provides financial products and services related to recreational and marine vehicles; originates vehicle loans through RoadLoans.com, a web-based direct lending program; purchases vehicle retail installment contracts from other lenders; and services automobile, and recreational and marine vehicle portfolios for other lenders. In addition, it originates private-label loans and leases; and offers other consumer finance products and personal loans, as well as provides point-of-sale financing. The company was founded in 1995 and is headquartered in Dallas, Texas. Santander Consumer USA Holdings Inc. is a subsidiary of Santander Holdings USA, Inc.",Financial Services,Credit Services,0.993499,8.385,90.80%,1.9,38.00%,34.51%,18.16%,,27.39,31-12-2020,2.41%,23.00%,12-08-2020,80.35%,23.01%,United States,5576,257.00%,,60.08M,3.24,1.49,20.61%,306.12M,2.87,27.39,734.47,,49.35%,4012488960,27.38%,20.61%,12.36,1.86%,13.92,205924992,41291739136,4418911232,27.98,9.74,1.897448,2.41%,9.55,Dallas,United States,"[{'raw': 1619395200, 'fmt': '2021-04-26'}, {'raw': 1619740800, 'fmt': '2021-04-30'}]",27.07,35,4418911232,8384653824,792487.6671,1209897895
CHX,ChampionX Corporation,"ChampionX Corporation provides chemistry solutions, and engineered equipment and technologies to oil and gas companies worldwide. The company's Production Chemical Technologies segment offers onshore and offshore chemical solutions, such as corrosion inhibitors, scale inhibitors, emulsion breakers, and biocides to oil and natural gas production and midstream markets to manage and control corrosion, oil and water separation, flow assurance, sour gas treatment, and water-related issues. The company's Production & Automation Technologies segment provides artificial lift equipment, end-to-end automation and digital solutions, and other production equipment, including electrical submersible pumping systems, gas lift systems, jet pumps, multiplex surface pumps, plunger lift equipment, progressive cavity pumping systems, downhole rod lift systems, chemical injection systems, flow control valves, and gauges under the Harbison-Fischer, Norris, Alberta Oil Tool, Oil Lift Technology, PCS Ferguson, Pro-Rod, Upco, Unbridled ESP, Norriseal-Wellmark, Quartzdyne, Spirit, Theta, Timberline, and Windrock brands. The company's Drilling Technologies segment offers polycrystalline diamond cutters, bearings, valves, and mining tools under the US Synthetic brand for use in oil and gas drill bits, renewable energy applications, mixers, and agitators; and high-density ceramic roof bolt mining tools for underground mining operations. The company's Reservoir Chemical Technologies segment provides chemistry-oriented solutions and technologies for well stimulation, construction, and remediation in the oil and natural gas industry, such as fracturing fluid packages, drilling and cement additives, and products for acidizing activities. The company has collaboration agreement with Modumetal Inc. The company was formerly known as Apergy Corporation and changed its name to ChampionX Corporation in June 2020. ChampionX Corporation is headquartered in The Woodlands, Texas.",Energy,Oil & Gas Equipment & Services,3.448054,5.025,16.32%,2.64,185.00%,30.19%,11.43%,,25.07,31-12-2020,,0.00%,,0.68%,100.96%,United States,6600,,23.91,198.96M,,,-39.15%,200.46M,,25.065,65.6,-55759124,22.27%,310040000,1.63%,-39.15%,1.22,0.72%,12.81,201420992,1057915008,1899996032,25.59,2.89,2.6445477,,,The Woodlands,United States,"[{'raw': 1614124800, 'fmt': '2021-02-24'}]",23.95,30,1899996032,5024630272,287878.1867,30969935.32
JEF,Jefferies Financial Group Inc.,"Jefferies Financial Group Inc. engages in the investment banking and capital markets, asset management, and direct investing businesses in the Americas, Europe, the Middle East, Africa, and Asia. It operates through Investment Banking and Capital Markets, Asset Management, Merchant Banking, and Corporate segments. The company offers financial advisory, equity underwriting, and debt underwriting, as well as corporate lending services; equities research, sales, and trading services; equity finance services comprising financing, securities lending, and other prime brokerage services; and wealth management services to high net worth individuals, their families and businesses, private equity and venture funds, and small institutions. It also provides clients with sales and trading of investment grade corporate bonds, U.S. and European government and agency securities, municipal bonds, mortgage-backed and asset-backed securities, leveraged loans, consumer loans, high yield and distressed securities, emerging markets debt, interest rate, and credit derivative products, as well as foreign exchange trade execution and securitization; and manages, invests in, and provides services to a diverse group of alternative asset management platforms across a spectrum of investment strategies and asset classes. The company was formerly known as Leucadia National Corporation and changed its name to Jefferies Financial Group Inc. in May 2018. Jefferies Financial Group Inc. was founded in 1968 and is headquartered in New York, New York.",Financial Services,Financial Conglomerates,1.486457,8.270,29.84%,1.19,44.10%,13.16%,11.06%,,33.08,30-11-2020,1.87%,22.64%,11-02-2021,19.57%,75.80%,United States,4945,56.80%,23.49,202.37M,2.5,0.88,11.15%,249.99M,2.65,33.08,241.1,-3654299136,18.90%,2075948032,16.11%,11.15%,0.75,1.37%,24.35,1943035008,23116961792,6955930112,33.08,11.2,1.1888566,1.87%,12.47,New York,United States,"[{'raw': 1616544000, 'fmt': '2021-03-24'}, {'raw': 1616976000, 'fmt': '2021-03-29'}]",31.5,34,6955930112,8269603328,1406659.274,1120600341
AER,AerCap Holdings N.V.,"AerCap Holdings N.V. engages in the lease, financing, sale, and management of commercial aircraft and engines in Mainland China, Hong Kong, Macau, the United States, Ireland, and internationally. The company offers aircraft asset management services, such as remarketing aircraft; collecting rental and maintenance rent payments, monitoring aircraft maintenance, monitoring and enforcing contract compliance, and accepting delivery and redelivery of aircraft; and conducting ongoing lessee financial performance reviews. Its aircraft asset management services also include periodically inspecting the leased aircraft; coordinating technical modifications to aircraft to meet new lessee requirements; conducting restructuring negotiations in connection with lease defaults; repossessing aircraft; arranging and monitoring insurance coverage; registering and de-registering aircraft; arranging for aircraft and aircraft engine valuations; and providing market research services. The company also provides cash management services, including treasury services, such as the financing, refinancing, hedging, and ongoing cash management of vehicles; and administrative services comprising accounting and corporate secretarial services consisting of the preparation of budgets and financial statements. As of December 31, 2020, it had a portfolio of 1,330 owned, managed, or on order aircraft. AerCap Holdings N.V. was founded in 1995 and is headquartered in Dublin, Ireland.",Industrials,Airports & Air Services,2.415492,7.945,47.41%,1.77,-17.90%,-8.49%,-4.79%,,60.93,31-12-2020,,0.00%,,3.27%,99.07%,Ireland,376,-90.80%,15.44,123.22M,7.23,0.88,-6.64%,129.76M,-2.34,60.93,324.2,797853376,56.18%,2130382976,50.80%,-6.64%,1.27,3.33%,35.18,1252075008,28958806016,4493628928,61.52,10.42,1.7681057,,,Dublin,Ireland,"[{'raw': 1620000000, 'fmt': '2021-05-03'}, {'raw': 1620345600, 'fmt': '2021-05-07'}]",66.43,88,4493628928,7945210880,11951140.77,2282763495
